iter	Logloss
0	0.6861388102
1	0.677964508
2	0.6705829772
3	0.6631796639
4	0.6568142132
5	0.648747436
6	0.642473675
7	0.6367969289
8	0.6307446263
9	0.6249167651
10	0.6189246474
11	0.6135483592
12	0.6077833421
13	0.6022817322
14	0.5968316256
15	0.5918334357
16	0.5866184814
17	0.5820294724
18	0.5766846474
19	0.5723179727
20	0.5678553318
21	0.5631949451
22	0.5585365931
23	0.5546436016
24	0.5507639291
25	0.5473214585
26	0.5431206056
27	0.5380649387
28	0.5332046302
29	0.5299427798
30	0.5267080211
31	0.5231761613
32	0.5201177169
33	0.5169651175
34	0.5132836347
35	0.5103213412
36	0.5073652911
37	0.5036070402
38	0.5005388485
39	0.497797235
40	0.4944567433
41	0.4919234696
42	0.4890234974
43	0.4867949057
44	0.4841881276
45	0.4821161593
46	0.4795448018
47	0.4776075738
48	0.475038922
49	0.4728002101
50	0.4702962102
51	0.4682924302
52	0.4655389482
53	0.4633916721
54	0.4619460613
55	0.4596102134
56	0.4574870863
57	0.4557825632
58	0.4528431354
59	0.4507961128
60	0.4490508837
61	0.447449575
62	0.4454626688
63	0.4439867927
64	0.442405046
65	0.4408036133
66	0.4399522825
67	0.4387017589
68	0.4366673872
69	0.4348629855
70	0.4331332646
71	0.4314031159
72	0.4286396175
73	0.4270301753
74	0.4251460888
75	0.4241431308
76	0.4216628103
77	0.4209628054
78	0.4187195385
79	0.417490332
80	0.415791826
81	0.4144932461
82	0.4131571985
83	0.4123827633
84	0.4111839098
85	0.410203034
86	0.4089243322
87	0.4075662705
88	0.4069912417
89	0.4057965629
90	0.4044557919
91	0.4033860953
92	0.4023964488
93	0.4016265936
94	0.4007063899
95	0.3995453911
96	0.3986001759
97	0.3975500818
98	0.3966939156
99	0.3958532871
100	0.3947668327
101	0.3937030124
102	0.3923132786
103	0.3917518207
104	0.3904160271
105	0.3897113273
106	0.3889161666
107	0.3878651491
108	0.3876175548
109	0.3865584956
110	0.3860632779
111	0.3849865648
112	0.3833642032
113	0.3830374526
114	0.3822777963
115	0.3811130242
116	0.379826327
117	0.3793804649
118	0.3784273133
119	0.3774541334
120	0.3764471681
121	0.375303608
122	0.3745383502
123	0.3735297055
124	0.3731585896
125	0.3724282328
126	0.3714943602
127	0.3706762258
128	0.3697512832
129	0.3687172621
130	0.3679703425
131	0.3673805876
132	0.3661940893
133	0.3653117528
134	0.3648492826
135	0.3640030607
136	0.3633698229
137	0.3629489471
138	0.3621677014
139	0.3615512843
140	0.3608659751
141	0.3600282001
142	0.3594143559
143	0.3586758915
144	0.3574701554
145	0.3564185119
146	0.3550859787
147	0.354838546
148	0.3546388952
149	0.3541859928
150	0.3537094942
151	0.3532995104
152	0.3527338476
153	0.3518855241
154	0.3509749242
155	0.3504840157
156	0.3495478989
157	0.3489763041
158	0.3478742484
159	0.3472123274
160	0.3464091829
161	0.3458796701
162	0.3454952843
163	0.3446594936
164	0.3439724272
165	0.3430375593
166	0.3419042373
167	0.3413757992
168	0.3405861319
169	0.3399400024
170	0.3391168688
171	0.338966355
172	0.3387701922
173	0.338387628
174	0.3377828969
175	0.3370708221
176	0.3361478891
177	0.3354132184
178	0.3351882281
179	0.33439283
180	0.3342858841
181	0.33311365
182	0.3328113406
183	0.3321967532
184	0.3317269406
185	0.3312339065
186	0.3305417771
187	0.3297440667
188	0.3286483222
189	0.3280114578
190	0.3275917196
191	0.3265751471
192	0.3256706957
193	0.3253627108
194	0.3250202784
195	0.3240583005
196	0.3231829078
197	0.3229709351
198	0.322092754
199	0.3215936414
200	0.3213190685
201	0.3207680026
202	0.3204464824
203	0.3196528247
204	0.3194147547
205	0.3191337734
206	0.3189651207
207	0.3185047231
208	0.3184081436
209	0.3179332254
210	0.317214477
211	0.3166446378
212	0.3164926766
213	0.3161375361
214	0.3157162812
215	0.3144371779
