iter	Passed	Remaining
0	11	11741
1	16	8037
2	20	6732
3	24	6220
4	28	5737
5	43	7239
6	55	7908
7	77	9627
8	83	9175
9	88	8808
10	97	8743
11	103	8490
12	108	8227
13	130	9176
14	136	8979
15	142	8782
16	146	8451
17	150	8227
18	154	7995
19	159	7810
20	163	7609
21	167	7447
22	171	7292
23	172	7029
24	176	6879
25	180	6769
26	184	6662
27	189	6586
28	193	6477
29	199	6447
30	201	6294
31	205	6213
32	209	6134
33	213	6066
34	217	6003
35	221	5932
36	225	5869
37	229	5812
38	232	5716
39	237	5690
40	241	5640
41	245	5597
42	249	5553
43	253	5504
44	257	5470
45	261	5415
46	265	5380
47	270	5357
48	274	5320
49	278	5297
50	282	5256
51	286	5228
52	290	5197
53	298	5232
54	304	5226
55	309	5211
56	313	5190
57	317	5149
58	320	5109
59	324	5083
60	328	5059
61	333	5049
62	337	5018
63	341	4990
64	345	4971
65	347	4924
66	352	4907
67	356	4888
68	360	4865
69	365	4851
70	368	4824
71	373	4810
72	377	4789
73	382	4784
74	387	4778
75	392	4770
76	396	4752
77	400	4736
78	405	4724
79	409	4706
80	413	4693
81	417	4671
82	421	4657
83	425	4640
84	429	4626
85	434	4614
86	438	4606
87	443	4597
88	447	4579
89	452	4573
90	455	4552
91	460	4544
92	465	4540
93	470	4539
94	474	4519
95	479	4510
96	483	4501
97	489	4502
98	494	4499
99	500	4504
100	504	4488
101	511	4500
102	514	4484
103	517	4454
104	521	4444
105	525	4429
106	530	4424
107	533	4407
108	536	4381
109	540	4374
110	544	4361
111	548	4351
112	552	4335
113	557	4331
114	561	4318
115	565	4308
116	569	4299
117	570	4266
118	574	4256
119	579	4248
120	583	4239
121	588	4232
122	593	4234
123	599	4236
124	604	4234
125	608	4222
126	612	4212
127	616	4202
128	621	4193
129	625	4183
130	628	4170
131	633	4165
132	638	4162
133	642	4154
134	646	4143
135	650	4129
136	654	4123
137	658	4111
138	663	4108
139	668	4109
140	674	4109
141	678	4099
142	683	4098
143	691	4107
144	696	4108
145	701	4101
146	705	4091
147	708	4078
148	712	4070
149	716	4061
150	721	4057
151	725	4045
152	729	4037
153	734	4033
154	739	4030
155	743	4025
156	748	4020
157	753	4017
158	761	4026
159	766	4023
160	772	4024
161	777	4024
162	782	4017
163	788	4017
164	792	4011
165	797	4004
166	801	3997
167	804	3985
168	809	3980
169	813	3973
170	818	3967
171	822	3957
